settlementdate,regionid,rrp,intervention,totaldemand,availablegeneration,netinterchange,intervention_regionsum
2026-02-01 00:05:00,NSW1,57.05984,0,8186.33,13272.53373,-1054.73,0
2026-02-01 00:10:00,NSW1,64.51979,0,8165.29,13246.7542,-924.67,0
2026-02-01 00:15:00,NSW1,65.08727,0,8202.7,13198.51267,-1006.5,0
2026-02-01 00:20:00,NSW1,64.89,0,8213.41,13169.71135,-1011.73,0
2026-02-01 00:25:00,NSW1,63.4718,0,8055.53,13139.8476,-934.04,0
2026-02-01 00:30:00,NSW1,64.85825,0,8072.11,13075.02694,-1077.86,0
2026-02-01 00:35:00,NSW1,64.05037,0,7942.1,13037.29402,-1018.58,0
2026-02-01 00:40:00,NSW1,64.89,0,7942.04,13036.20127,-1150.21,0
2026-02-01 00:45:00,NSW1,64.14536,0,7813.26,13047.5035,-1076.92,0
2026-02-01 00:50:00,NSW1,62.95677,0,7801.77,13065.23732,-1044.53,0
2026-02-01 00:55:00,NSW1,63.01,0,7706.27,13048.13825,-948.0,0
2026-02-01 01:00:00,NSW1,72.01237,0,7744.48,13043.26281,-931.2,0
2026-02-01 01:05:00,NSW1,65.4564,0,7745.49,13025.61722,-1151.6,0
2026-02-01 01:10:00,NSW1,65.50229,0,7701.84,13005.23055,-1145.33,0
2026-02-01 01:15:00,NSW1,73.20014,0,7665.37,13019.3531,-1090.54,0
2026-02-01 01:20:00,NSW1,65.12769,0,7651.4,13007.21169,-1095.03,0
2026-02-01 01:25:00,NSW1,65.60312,0,7665.4,13019.0765,-1095.05,0
2026-02-01 01:30:00,NSW1,64.76199,0,7672.47,13025.9634,-1105.26,0
2026-02-01 01:35:00,NSW1,73.2001,0,7664.52,13038.24596,-1106.11,0
2026-02-01 01:40:00,NSW1,64.44455,0,7623.14,13048.70352,-1095.22,0
2026-02-01 01:45:00,NSW1,64.11347,0,7550.09,13050.91973,-1035.79,0
2026-02-01 01:50:00,NSW1,63.20462,0,7478.99,13064.05822,-978.07,0
2026-02-01 01:55:00,NSW1,57.31,0,7489.75,13130.71626,-1001.77,0
2026-02-01 02:00:00,NSW1,61.73103,0,7524.78,13106.41602,-988.77,0
2026-02-01 02:05:00,NSW1,72.58602,0,7408.12,13204.55287,-992.32,0
2026-02-01 02:10:00,NSW1,73.50236,0,7426.31,13152.60594,-1019.81,0
2026-02-01 02:15:00,NSW1,73.2001,0,7490.18,13162.42459,-1100.94,0
2026-02-01 02:20:00,NSW1,73.95127,0,7480.92,13200.36349,-1075.76,0
2026-02-01 02:25:00,NSW1,73.34123,0,7451.24,13211.70772,-1049.15,0
2026-02-01 02:30:00,NSW1,73.2001,0,7427.74,13245.0307,-1016.64,0
2026-02-01 02:35:00,NSW1,75.58102,0,7461.68,13276.77733,-1100.39,0
2026-02-01 02:40:00,NSW1,73.20011,0,7429.58,13327.99392,-1026.08,0
2026-02-01 02:45:00,NSW1,64.1194,0,7342.28,13359.53969,-979.77,0
2026-02-01 02:50:00,NSW1,63.4324,0,7307.59,13392.58452,-925.48,0
2026-02-01 02:55:00,NSW1,71.15093,0,7333.77,13445.51114,-901.86,0
2026-02-01 03:00:00,NSW1,62.23064,0,7239.53,13488.69114,-763.22,0
2026-02-01 03:05:00,NSW1,62.37652,0,7240.06,13524.61192,-781.75,0
2026-02-01 03:10:00,NSW1,62.72437,0,7330.8,13593.23154,-805.1,0
2026-02-01 03:15:00,NSW1,62.7549,0,7272.6,13546.50289,-811.72,0
2026-02-01 03:20:00,NSW1,73.20007,0,7258.15,13534.54078,-808.36,0
2026-02-01 03:25:00,NSW1,71.28229,0,7265.43,13484.7445,-869.22,0
2026-02-01 03:30:00,NSW1,70.85285,0,7263.35,13494.04193,-836.75,0
2026-02-01 03:35:00,NSW1,71.29776,0,7259.83,13469.21432,-895.06,0
2026-02-01 03:40:00,NSW1,73.20007,0,7259.21,13410.62974,-948.79,0
2026-02-01 03:45:00,NSW1,71.79075,0,7215.86,13410.84801,-907.63,0
2026-02-01 03:50:00,NSW1,73.20007,0,7213.24,13378.43522,-925.57,0
2026-02-01 03:55:00,NSW1,71.30996,0,7167.81,13384.0375,-893.22,0
2026-02-01 04:00:00,NSW1,63.17752,0,7155.23,13377.92371,-878.99,0
2026-02-01 04:05:00,NSW1,79.84474,0,7153.02,13326.70919,-979.9,0
2026-02-01 04:10:00,NSW1,76.89272,0,7165.8,13287.73006,-1020.49,0
2026-02-01 04:15:00,NSW1,79.95,0,7235.47,13294.32746,-1080.05,0
2026-02-01 04:20:00,NSW1,79.95,0,7220.07,13299.74648,-1094.21,0
2026-02-01 04:25:00,NSW1,83.4501,0,7246.3,13303.42815,-1047.32,0
2026-02-01 04:30:00,NSW1,84.79,0,7213.5,13310.03264,-968.72,0
2026-02-01 04:35:00,NSW1,79.95022,0,7218.2,13319.83982,-880.27,0
2026-02-01 04:40:00,NSW1,79.95022,0,7262.71,13324.50037,-872.67,0
2026-02-01 04:45:00,NSW1,79.94989,0,7260.45,13348.43584,-864.77,0
2026-02-01 04:50:00,NSW1,79.60405,0,7233.27,13376.56047,-834.65,0
2026-02-01 04:55:00,NSW1,79.95022,0,7264.96,13360.72972,-806.57,0
2026-02-01 05:00:00,NSW1,87.46702,0,7309.24,13160.72455,-853.47,0
2026-02-01 05:05:00,NSW1,80.11021,0,7300.71,13128.92376,-847.34,0
2026-02-01 05:10:00,NSW1,87.32232,0,7402.9,13192.92776,-865.0,0
2026-02-01 05:15:00,NSW1,74.40105,0,7310.62,13187.27535,-827.11,0
2026-02-01 05:20:00,NSW1,77.29167,0,7396.01,13222.46272,-905.1,0
2026-02-01 05:25:00,NSW1,77.43322,0,7402.71,13246.8171,-893.19,0
2026-02-01 05:30:00,NSW1,77.35383,0,7390.05,13251.92922,-897.46,0
2026-02-01 05:35:00,NSW1,77.36417,0,7334.96,13276.60796,-894.86,0
2026-02-01 05:40:00,NSW1,73.20002,0,7339.64,13264.1873,-929.17,0
2026-02-01 05:45:00,NSW1,73.20002,0,7369.89,13242.82868,-959.52,0
2026-02-01 05:50:00,NSW1,73.20002,0,7347.65,13251.88393,-968.43,0
2026-02-01 05:55:00,NSW1,72.30808,0,7336.71,13229.51715,-1067.53,0
2026-02-01 06:00:00,NSW1,68.65681,0,7266.57,13205.11625,-1079.44,0
2026-02-01 06:05:00,NSW1,79.13648,0,7325.94,13254.98705,-1055.77,0
2026-02-01 06:10:00,NSW1,73.20002,0,7344.41,13334.52668,-1070.94,0
2026-02-01 06:15:00,NSW1,65.38741,0,7388.23,13436.40543,-1146.03,0
2026-02-01 06:20:00,NSW1,74.39733,0,7449.52,13412.21228,-1170.09,0
2026-02-01 06:25:00,NSW1,73.20002,0,7404.26,13426.59816,-1208.5,0
2026-02-01 06:30:00,NSW1,57.08,0,7382.1,13517.33999,-1195.22,0
2026-02-01 06:35:00,NSW1,57.08,0,7368.66,13526.04733,-1360.63,0
2026-02-01 06:40:00,NSW1,57.08,0,7285.65,13466.88687,-1340.71,0
2026-02-01 06:45:00,NSW1,57.06,0,7262.62,13510.25378,-1418.38,0
2026-02-01 06:50:00,NSW1,56.98,0,7275.99,13552.9106,-1537.61,0
2026-02-01 06:55:00,NSW1,56.98,0,7306.36,13636.0013,-1631.82,0
2026-02-01 07:00:00,NSW1,36.25,0,7315.58,13639.54297,-1764.61,0
2026-02-01 07:05:00,NSW1,57.05984,0,7323.7,13754.59788,-1783.72,0
2026-02-01 07:10:00,NSW1,57.06,0,7399.37,13806.17738,-1698.58,0
2026-02-01 07:15:00,NSW1,57.06,0,7386.65,13963.57751,-1632.12,0
2026-02-01 07:20:00,NSW1,56.98,0,7365.55,14062.7099,-1589.02,0
2026-02-01 07:25:00,NSW1,43.18024,0,7340.99,14244.73328,-1532.2,0
2026-02-01 07:30:00,NSW1,56.98,0,7358.72,14197.82324,-1591.95,0
2026-02-01 07:35:00,NSW1,41.93703,0,7268.34,14353.49321,-1276.29,0
2026-02-01 07:40:00,NSW1,56.98,0,7351.6,14344.46511,-1307.09,0
2026-02-01 07:45:00,NSW1,57.08,0,7414.72,14327.73089,-1374.04,0
2026-02-01 07:50:00,NSW1,56.98,0,7433.51,14406.9171,-1462.06,0
2026-02-01 07:55:00,NSW1,36.07,0,7366.22,14507.00425,-1500.57,0
2026-02-01 08:00:00,NSW1,36.07,0,7392.99,14545.00833,-1489.02,0
2026-02-01 08:05:00,NSW1,40.54,0,7538.69,14502.02414,-1537.84,0
2026-02-01 08:10:00,NSW1,56.98,0,7607.9,14550.47194,-1532.84,0
2026-02-01 08:15:00,NSW1,36.07,0,7562.59,14647.98843,-1494.86,0
2026-02-01 08:20:00,NSW1,36.07,0,7571.09,14729.77603,-1483.43,0
2026-02-01 08:25:00,NSW1,35.88,0,7690.16,14919.4491,-1571.16,0
2026-02-01 08:30:00,NSW1,36.06,0,7728.17,14889.94811,-1583.32,0
2026-02-01 08:35:00,NSW1,36.07,0,7739.57,14869.63581,-1510.98,0
2026-02-01 08:40:00,NSW1,40.54,0,7745.16,14721.58731,-1510.86,0
2026-02-01 08:45:00,NSW1,36.07,0,7779.46,14760.4077,-1555.31,0
2026-02-01 08:50:00,NSW1,36.07,0,7836.19,14869.59848,-1506.23,0
2026-02-01 08:55:00,NSW1,36.07,0,7821.72,14918.50784,-1493.28,0
2026-02-01 09:00:00,NSW1,36.07,0,7873.57,14919.906,-1455.33,0
2026-02-01 09:05:00,NSW1,57.08,0,7906.9,14729.2226,-1379.86,0
2026-02-01 09:10:00,NSW1,57.06,0,8019.5,14708.57761,-1424.09,0
2026-02-01 09:15:00,NSW1,36.07,0,7884.11,14733.84447,-1406.7,0
