settlementdate,regionid,rrp,intervention,totaldemand,availablegeneration,netinterchange,intervention_regionsum,supply_demand_gap,price_spike_flag,price_change,rolling_rrp_volatility_1h,date,hour,weekday,is_weekend,active_constraint_count,max_constraint_marginal_value,total_constraint_marginal_value,violation_flag,max_violation_degree
2026-02-05 14:30:00,NSW1,20300.0,0,10190.15,15492.52355,589.03,0,5302.37355,True,19842.65742,5793.80907312163,2026-02-05,14,Thursday,False,24,12.12,-100159.89494,False,0
2026-02-06 14:05:00,NSW1,19036.53,0,9651.93,15075.06206,-897.7,0,5423.13206,True,18882.33,5801.771238452057,2026-02-06,14,Friday,False,23,5.34,-61802.2974,False,0
2026-02-05 18:05:00,NSW1,9914.02372,0,11811.76,13709.77609,-1263.59,0,1898.0160899999992,True,9634.2909,3719.9499002590815,2026-02-05,18,Thursday,False,22,20.23,-22761.00366,False,0
2026-02-05 17:55:00,NSW1,9911.42681,0,11901.45,14019.02209,-1259.15,0,2117.5720899999997,True,9608.77893,2762.209380494187,2026-02-05,17,Thursday,False,24,4.96,-22639.48874,False,0
2026-02-05 16:35:00,NSW1,9240.83,0,11896.59,14384.92803,-1206.05,0,2488.338029999999,True,8641.47,2519.2810033612905,2026-02-05,16,Thursday,False,29,4.34,-29431.52628,False,0
2026-02-07 16:40:00,NSW1,9199.3,0,11073.4,13443.2964,-946.07,0,2369.8963999999996,True,9092.46,2617.222174142526,2026-02-07,16,Saturday,True,21,10.41,-20634.312,False,0
2026-02-05 14:50:00,NSW1,9199.3,0,10400.88,15793.28831,-180.65,0,5392.408310000001,True,8801.87165,6180.72618804602,2026-02-05,14,Thursday,False,23,7.45,-32788.781409999996,False,0
2026-02-06 13:35:00,NSW1,9199.3,0,9613.17,15758.70193,91.27,0,6145.531929999999,True,8899.55,2580.566888120295,2026-02-06,13,Friday,False,26,7.99,-60699.49111,False,0
2026-02-05 14:40:00,NSW1,7380.80815,0,10203.66,15819.78989,154.74,0,5616.12989,True,6908.09033,5953.99890886786,2026-02-05,14,Thursday,False,24,9.19,-22251.996039999998,False,0
2026-02-05 18:15:00,NSW1,1278.88,0,11744.07,13349.01575,-1258.69,0,1604.9457500000008,True,1012.34851,3695.194358523847,2026-02-05,18,Thursday,False,21,3.96,-6279.40831,False,0
