settlementdate,total_absolute_flow,max_absolute_flow,average_absolute_flow,max_absolute_flow_change,high_flow_interconnector_count,high_flow_change_interconnector_count,congestion_signal_count,congestion_signal_flag
2026-02-01 00:30:00,1241.36,971.18,206.89333333333332,,0,0,0,False
2026-02-01 00:35:00,1409.72,999.57,234.95333333333335,92.97,0,2,2,True
2026-02-01 00:40:00,1363.19,1076.22,227.19833333333335,110.32,1,2,3,True
2026-02-01 00:45:00,1470.9199999999998,1053.62,245.1533333333333,87.39000000000001,0,1,1,True
2026-02-01 00:50:00,1393.8200000000002,1029.14,232.30333333333337,29.130000000000024,0,0,0,False
2026-02-01 00:55:00,1273.22,912.58,212.20333333333335,116.56000000000006,0,1,1,True
2026-02-01 01:00:00,1237.49,920.01,206.24833333333333,60.0,0,1,1,True
2026-02-01 01:05:00,1348.06,1031.56,224.67666666666665,111.54999999999995,0,0,0,False
2026-02-01 01:10:00,1324.75,1030.64,220.79166666666666,34.26000000000002,0,0,0,False
2026-02-01 01:15:00,1371.29,975.99,228.54833333333332,105.20000000000002,0,1,1,True
2026-02-01 01:20:00,1365.63,1002.76,227.60500000000002,26.769999999999982,0,0,0,False
2026-02-01 01:25:00,1191.84,960.5,198.64,171.23,0,1,1,True
2026-02-01 01:30:00,1257.51,1047.21,209.585,86.71000000000004,0,0,0,False
2026-02-01 01:35:00,1322.8000000000002,1030.43,220.4666666666667,65.41000000000001,0,0,0,False
2026-02-01 01:40:00,1394.28,1072.21,232.38,79.0,1,2,3,True
2026-02-01 01:45:00,1237.62,1042.33,206.26999999999998,43.0,0,0,0,False
2026-02-01 01:50:00,1398.9899999999998,1078.83,233.16499999999996,91.13,1,1,2,True
2026-02-01 01:55:00,1305.8100000000002,1088.89,217.63500000000002,79.75999999999999,1,0,1,True
2026-02-01 02:00:00,1378.42,1104.13,229.73666666666668,26.400000000000002,1,0,1,True
2026-02-01 02:05:00,1248.59,952.78,208.09833333333333,151.35000000000014,0,0,0,False
2026-02-01 02:10:00,1244.41,912.24,207.40166666666667,65.38,0,1,1,True
2026-02-01 02:15:00,1270.1399999999999,942.9,211.68999999999997,60.0,0,1,1,True
2026-02-01 02:20:00,1483.62,929.86,247.26999999999998,103.08,0,3,3,True
2026-02-01 02:25:00,1510.7,949.35,251.78333333333333,48.629999999999995,0,0,0,False
2026-02-01 02:30:00,1274.19,934.3,212.365,83.0,0,2,2,True
2026-02-01 02:35:00,1495.3400000000001,961.96,249.22333333333336,65.06,0,2,2,True
2026-02-01 02:40:00,1156.9,977.97,192.8166666666667,120.78,0,3,3,True
2026-02-01 02:45:00,1294.98,1010.93,215.83,92.0,0,2,2,True
2026-02-01 02:50:00,1154.24,1010.07,192.37333333333333,83.16,0,1,1,True
2026-02-01 02:55:00,1141.3,972.8,190.21666666666667,37.270000000000095,0,0,0,False
2026-02-01 03:00:00,1471.49,966.75,245.24833333333333,142.55,0,2,2,True
2026-02-01 03:05:00,1201.28,959.54,200.21333333333334,104.54,0,2,2,True
2026-02-01 03:10:00,1157.12,966.16,192.85333333333332,69.49,0,0,0,False
2026-02-01 03:15:00,1225.72,980.41,204.28666666666666,42.97,0,0,0,False
2026-02-01 03:20:00,1233.08,980.87,205.51333333333332,18.0,0,0,0,False
2026-02-01 03:25:00,1128.77,968.63,188.12833333333333,62.92,0,0,0,False
2026-02-01 03:30:00,1105.33,944.93,184.22166666666666,23.700000000000045,0,0,0,False
2026-02-01 03:35:00,1230.04,976.66,205.00666666666666,76.87,0,1,1,True
2026-02-01 03:40:00,1113.57,982.96,185.595,67.0,0,1,1,True
2026-02-01 03:45:00,1086.63,968.6,181.10500000000002,27.689999999999998,0,0,0,False
2026-02-01 03:50:00,1163.68,993.32,193.9466666666667,38.33,0,0,0,False
2026-02-01 03:55:00,1157.6200000000001,983.34,192.9366666666667,22.86,0,0,0,False
2026-02-01 04:00:00,1180.1,981.22,196.6833333333333,44.150000000000006,0,0,0,False
2026-02-01 04:05:00,1133.25,964.01,188.875,106.6,0,0,0,False
2026-02-01 04:10:00,1122.0900000000001,967.97,187.01500000000001,49.58,0,1,1,True
2026-02-01 04:15:00,1289.53,976.11,214.92166666666665,62.55,0,2,2,True
2026-02-01 04:20:00,1337.5,1015.47,222.91666666666666,39.360000000000014,0,0,0,False
2026-02-01 04:25:00,1284.81,1017.29,214.135,48.519999999999996,0,0,0,False
2026-02-01 04:30:00,1304.67,1036.63,217.44500000000002,87.12,0,0,0,False
2026-02-01 04:35:00,1418.27,1045.65,236.37833333333333,87.13,0,0,0,False
2026-02-01 04:40:00,1347.3000000000002,1045.92,224.55000000000004,64.2,0,2,2,True
2026-02-01 04:45:00,1480.2599999999998,1080.37,246.70999999999995,63.67,1,2,3,True
2026-02-01 04:50:00,1432.1499999999999,1065.06,238.69166666666663,47.83,0,0,0,False
2026-02-01 04:55:00,1386.2,1023.51,231.03333333333333,41.549999999999955,0,0,0,False
2026-02-01 05:00:00,1469.81,1039.54,244.96833333333333,97.94999999999999,0,0,0,False
